Timestamp,Garage Name,Address,Occupancy,Last Updated
2025-03-21 19:47:26,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Friday, 2025-3-21 7:45:00 PM"
2025-03-21 20:02:26,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Friday, 2025-3-21 8:01:00 PM"
2025-03-21 20:17:27,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Friday, 2025-3-21 8:17:00 PM"
2025-03-21 20:32:27,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Friday, 2025-3-21 8:29:00 PM"
2025-03-21 20:47:27,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Friday, 2025-3-21 8:45:00 PM"
2025-03-21 21:02:28,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Friday, 2025-3-21 9:01:00 PM"
2025-03-21 21:17:28,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Friday, 2025-3-21 9:17:00 PM"
2025-03-21 21:32:28,South Garage,"377 S. 7th St., San Jose, CA 95112",29,"Friday, 2025-3-21 9:29:00 PM"
2025-03-21 21:47:29,South Garage,"377 S. 7th St., San Jose, CA 95112",29,"Friday, 2025-3-21 9:45:00 PM"
2025-03-21 22:02:29,South Garage,"377 S. 7th St., San Jose, CA 95112",29,"Friday, 2025-3-21 10:01:00 PM"
2025-03-21 22:17:29,South Garage,"377 S. 7th St., San Jose, CA 95112",28,"Friday, 2025-3-21 10:17:00 PM"
2025-03-21 22:32:30,South Garage,"377 S. 7th St., San Jose, CA 95112",28,"Friday, 2025-3-21 10:29:00 PM"
2025-03-21 22:47:30,South Garage,"377 S. 7th St., San Jose, CA 95112",28,"Friday, 2025-3-21 10:45:00 PM"
2025-03-21 23:02:31,South Garage,"377 S. 7th St., San Jose, CA 95112",27,"Friday, 2025-3-21 11:01:00 PM"
2025-03-21 23:17:31,South Garage,"377 S. 7th St., San Jose, CA 95112",27,"Friday, 2025-3-21 11:17:00 PM"
2025-03-21 23:32:31,South Garage,"377 S. 7th St., San Jose, CA 95112",27,"Friday, 2025-3-21 11:29:00 PM"
2025-03-21 23:47:32,South Garage,"377 S. 7th St., San Jose, CA 95112",27,"Friday, 2025-3-21 11:45:00 PM"
2025-03-22 00:02:47,South Garage,"377 S. 7th St., San Jose, CA 95112",27,"Saturday, 2025-3-22 12:01:00 AM"
2025-03-22 00:17:48,South Garage,"377 S. 7th St., San Jose, CA 95112",27,"Saturday, 2025-3-22 12:17:00 AM"
2025-03-22 00:32:48,South Garage,"377 S. 7th St., San Jose, CA 95112",27,"Saturday, 2025-3-22 12:28:00 AM"
2025-03-22 00:47:49,South Garage,"377 S. 7th St., San Jose, CA 95112",27,"Saturday, 2025-3-22 12:45:00 AM"
2025-03-22 01:02:49,South Garage,"377 S. 7th St., San Jose, CA 95112",26,"Saturday, 2025-3-22 1:01:00 AM"
2025-03-22 01:17:49,South Garage,"377 S. 7th St., San Jose, CA 95112",26,"Saturday, 2025-3-22 1:16:00 AM"
2025-03-22 01:32:50,South Garage,"377 S. 7th St., San Jose, CA 95112",26,"Saturday, 2025-3-22 1:29:00 AM"
2025-03-22 01:47:50,South Garage,"377 S. 7th St., San Jose, CA 95112",26,"Saturday, 2025-3-22 1:45:00 AM"
2025-03-22 02:02:50,South Garage,"377 S. 7th St., San Jose, CA 95112",0,"Saturday, 2025-3-22 2:01:00 AM"
2025-03-22 09:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 2:13:00 AM"
2025-03-22 09:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 2:29:00 AM"
2025-03-22 09:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 2:41:00 AM"
2025-03-22 09:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 2:57:00 AM"
2025-03-22 10:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 3:13:00 AM"
2025-03-22 10:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 3:29:00 AM"
2025-03-22 10:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 3:41:00 AM"
2025-03-22 10:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 3:57:00 AM"
2025-03-22 11:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 4:13:00 AM"
2025-03-22 11:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 4:29:00 AM"
2025-03-22 11:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Saturday, 2025-3-22 4:41:00 AM"
2025-03-22 11:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 4:57:00 AM"
2025-03-22 12:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Saturday, 2025-3-22 5:13:00 AM"
2025-03-22 12:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Saturday, 2025-3-22 5:29:00 AM"
2025-03-22 12:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Saturday, 2025-3-22 5:41:00 AM"
2025-03-22 12:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Saturday, 2025-3-22 5:57:00 AM"
2025-03-22 13:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",30,"Saturday, 2025-3-22 6:13:00 AM"
2025-03-22 13:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 6:29:00 AM"
2025-03-22 13:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 6:41:00 AM"
2025-03-22 13:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 6:57:00 AM"
2025-03-22 14:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 7:13:00 AM"
2025-03-22 14:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 7:29:00 AM"
2025-03-22 14:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 7:41:00 AM"
2025-03-22 14:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Saturday, 2025-3-22 7:57:00 AM"
2025-03-22 15:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Saturday, 2025-3-22 8:13:00 AM"
2025-03-22 15:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Saturday, 2025-3-22 8:29:00 AM"
2025-03-22 15:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Saturday, 2025-3-22 8:41:00 AM"
2025-03-22 15:59:28,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Saturday, 2025-3-22 8:57:00 AM"
2025-03-22 16:14:28,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Saturday, 2025-3-22 9:13:00 AM"
2025-03-22 16:29:28,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Saturday, 2025-3-22 9:29:00 AM"
2025-03-22 16:44:28,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Saturday, 2025-3-22 9:41:00 AM"
